"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Apertura a la diversidad en el ámbito Nacional. Persona gay (homosexual) o lesbiana","PO1_3_7","Alfanumérico",1,"3
"
"Apertura a la diversidad en el ámbito Nacional. Persona gay (homosexual) o lesbiana","PO1_3_7","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito Nacional. Persona gay (homosexual) o lesbiana","PO1_3_7","Alfanumérico",1,"9
"
"Apertura a la diversidad en el ámbito Nacional. Personas trans (transgénero, transexual o trasvesti)","PO1_3_8","Alfanumérico",1,"1
"
"Apertura a la diversidad en el ámbito Nacional. Personas trans (transgénero, transexual o trasvesti)","PO1_3_8","Alfanumérico",1,"2
"
"Apertura a la diversidad en el ámbito Nacional. Personas trans (transgénero, transexual o trasvesti)","PO1_3_8","Alfanumérico",1,"3
"
"Apertura a la diversidad en el ámbito Nacional. Personas trans (transgénero, transexual o trasvesti)","PO1_3_8","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito Nacional. Personas trans (transgénero, transexual o trasvesti)","PO1_3_8","Alfanumérico",1,"9
"
"Grado de permisividad a la discriminación. Que un hombre le pegue a una mujer","PO1_4_1","Alfanumérico",1,"1
"
"Grado de permisividad a la discriminación. Que un hombre le pegue a una mujer","PO1_4_1","Alfanumérico",1,"2
"
"Grado de permisividad a la discriminación. Que un hombre le pegue a una mujer","PO1_4_1","Alfanumérico",1,"3
"
"Grado de permisividad a la discriminación. Que un hombre le pegue a una mujer","PO1_4_1","Alfanumérico",1,"4
"
"Grado de permisividad a la discriminación. Que un hombre le pegue a una mujer","PO1_4_1","Alfanumérico",1,"9
"
"Grado de permisividad a la discriminación. Llamar a la policía cuando hay jóvenes reunidos en una esquina","PO1_4_2","Alfanumérico",1,"1
"
"Grado de permisividad a la discriminación. Llamar a la policía cuando hay jóvenes reunidos en una esquina","PO1_4_2","Alfanumérico",1,"2
"
"Grado de permisividad a la discriminación. Llamar a la policía cuando hay jóvenes reunidos en una esquina","PO1_4_2","Alfanumérico",1,"3
"
