"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Discapacidad. Dificultad para mover o usar sus brazos o manos","P3_6_3","Alfanumérico",1,"3
"
"Discapacidad. Dificultad para mover o usar sus brazos o manos","P3_6_3","Alfanumérico",1,"4
"
"Discapacidad. Dificultad para mover o usar sus brazos o manos","P3_6_3","Alfanumérico",1,"9
"
"Discapacidad. Dificultad para para aprender, recordar o concentrarse","P3_6_4","Alfanumérico",1,"1
"
"Discapacidad. Dificultad para para aprender, recordar o concentrarse","P3_6_4","Alfanumérico",1,"2
"
"Discapacidad. Dificultad para para aprender, recordar o concentrarse","P3_6_4","Alfanumérico",1,"3
"
"Discapacidad. Dificultad para para aprender, recordar o concentrarse","P3_6_4","Alfanumérico",1,"4
"
"Discapacidad. Dificultad para para aprender, recordar o concentrarse","P3_6_4","Alfanumérico",1,"9
"
"Discapacidad. Dificultad para escuchar aunque use aparato auditivo.","P3_6_5","Alfanumérico",1,"1
"
"Discapacidad. Dificultad para escuchar aunque use aparato auditivo.","P3_6_5","Alfanumérico",1,"2
"
"Discapacidad. Dificultad para escuchar aunque use aparato auditivo.","P3_6_5","Alfanumérico",1,"3
"
"Discapacidad. Dificultad para escuchar aunque use aparato auditivo.","P3_6_5","Alfanumérico",1,"4
"
"Discapacidad. Dificultad para escuchar aunque use aparato auditivo.","P3_6_5","Alfanumérico",1,"9
"
"Discapacidad. Dificultad para bañarse, vestirse o comer","P3_6_6","Alfanumérico",1,"1
"
"Discapacidad. Dificultad para bañarse, vestirse o comer","P3_6_6","Alfanumérico",1,"2
"
"Discapacidad. Dificultad para bañarse, vestirse o comer","P3_6_6","Alfanumérico",1,"3
"
"Discapacidad. Dificultad para bañarse, vestirse o comer","P3_6_6","Alfanumérico",1,"4
"
"Discapacidad. Dificultad para bañarse, vestirse o comer","P3_6_6","Alfanumérico",1,"9
"
"Discapacidad. Dificultad para hablar o comunicarse.","P3_6_7","Alfanumérico",1,"1
"
"Discapacidad. Dificultad para hablar o comunicarse.","P3_6_7","Alfanumérico",1,"2
"
"Discapacidad. Dificultad para hablar o comunicarse.","P3_6_7","Alfanumérico",1,"3
"
"Discapacidad. Dificultad para hablar o comunicarse.","P3_6_7","Alfanumérico",1,"4
"
"Discapacidad. Dificultad para hablar o comunicarse.","P3_6_7","Alfanumérico",1,"9
"
"Discapacidad. Dificultad para realizar sus actividades diarias por problemas
emocionales o mentales.","P3_6_8","Alfanumérico",1,"1
"
"Discapacidad. Dificultad para realizar sus actividades diarias por problemas
emocionales o mentales.","P3_6_8","Alfanumérico",1,"2
"
"Discapacidad. Dificultad para realizar sus actividades diarias por problemas
emocionales o mentales.","P3_6_8","Alfanumérico",1,"3
"
"Discapacidad. Dificultad para realizar sus actividades diarias por problemas
emocionales o mentales.","P3_6_8","Alfanumérico",1,"4
"
"Discapacidad. Dificultad para realizar sus actividades diarias por problemas
emocionales o mentales.","P3_6_8","Alfanumérico",1,"9
"
"Lugar de nacimiento","P3_7","Alfanumérico",1,"1
"
"Lugar de nacimiento","P3_7","Alfanumérico",1,"2
"
"Lugar de nacimiento","P3_7","Alfanumérico",1,"3
"
"Lugar de nacimiento","P3_7","Alfanumérico",1,"4
"
"Lugar de nacimiento","P3_7","Alfanumérico",1,"9
"
"Lugar de nacimiento.
Código de la entidad federativa de nacimiento ","P3_7C","Alfanumérico",3,"001 - 535
"
"Lugar de nacimiento.
Nombre de la entidad federativa de nacimiento","P3_7_ESP","Alfanumérico",160,"A - Z, 0 - 9
"
"LUGAR DE RESIDENCIA EN 2017
Código País o estado de residencia en 2017","P3_8C_ENT_","Alfanumérico",3,"001 - 535
"
"LUGAR DE RESIDENCIA EN 2017
Código Municipio de residencia en 2017","P3_8C_MUN","Alfanumérico",3,"001 - 570
"
"Lugar de residencia en 2017","P3_8","Alfanumérico",1,"1
"
"Lugar de residencia en 2017","P3_8","Alfanumérico",1,"2
"
"Lugar de residencia en 2017","P3_8","Alfanumérico",1,"3
"
"Lugar de residencia en 2017","P3_8","Alfanumérico",1,"4
"
"Lugar de residencia en 2017","P3_8","Alfanumérico",1,"5
"
"Lugar de residencia en 2017","P3_8","Alfanumérico",1,"9
"
"Nombre del lugar de residencia en 2017","P3_8_ESP","Alfanumérico",160,"A - Z, 0 - 9
"
"Uso de servicios de salud","P3_9","Alfanumérico",2,"01
"
"Uso de servicios de salud","P3_9","Alfanumérico",2,"02
"
"Uso de servicios de salud","P3_9","Alfanumérico",2,"03
"
"Uso de servicios de salud","P3_9","Alfanumérico",2,"04
"
"Uso de servicios de salud","P3_9","Alfanumérico",2,"05
"
"Uso de servicios de salud","P3_9","Alfanumérico",2,"06
"
"Uso de servicios de salud","P3_9","Alfanumérico",2,"07
"
"Uso de servicios de salud","P3_9","Alfanumérico",2,"08
"
"Uso de servicios de salud","P3_9","Alfanumérico",2,"09
"
"Uso de servicios de salud","P3_9","Alfanumérico",2,"10
"
"Afrodescendencia","P3_10","Alfanumérico",1,"1
"
"Afrodescendencia","P3_10","Alfanumérico",1,"2
"
"Afrodescendencia","P3_10","Alfanumérico",1,"9
"
"Afiliación a servicios de salud IMSS","P3_11_01","Alfanumérico",1,"1
"
"Afiliación a servicios de salud IMSS","P3_11_01","Alfanumérico",1,"2
"
"Afiliación a servicios de salud ISSSTE","P3_11_02","Alfanumérico",1,"1
"
"Afiliación a servicios de salud ISSSTE","P3_11_02","Alfanumérico",1,"2
"
"Afiliación a servicios de salud del ISSSTE estatal","P3_11_03","Alfanumérico",1,"1
"
