"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Emociones. Con tus compañeras o compañeros de la escuela","PM6_6_08","Alfanumérico",1,"3
"
"Emociones. Con tus compañeras o compañeros de la escuela","PM6_6_08","Alfanumérico",1,"4
"
"Emociones. Con tus compañeras o compañeros de la escuela","PM6_6_08","Alfanumérico",1,"5
"
"Emociones. Con tus compañeras o compañeros de la escuela","PM6_6_08","Alfanumérico",1,"9
"
"Emociones. Con tus maestras o maestros","PM6_6_09","Alfanumérico",1,"1
"
"Emociones. Con tus maestras o maestros","PM6_6_09","Alfanumérico",1,"2
"
"Emociones. Con tus maestras o maestros","PM6_6_09","Alfanumérico",1,"3
"
"Emociones. Con tus maestras o maestros","PM6_6_09","Alfanumérico",1,"4
"
"Emociones. Con tus maestras o maestros","PM6_6_09","Alfanumérico",1,"5
"
"Emociones. Con tus maestras o maestros","PM6_6_09","Alfanumérico",1,"9
"
"Emociones. Cerca de la policía","PM6_6_10","Alfanumérico",1,"1
"
"Emociones. Cerca de la policía","PM6_6_10","Alfanumérico",1,"2
"
"Emociones. Cerca de la policía","PM6_6_10","Alfanumérico",1,"3
"
"Emociones. Cerca de la policía","PM6_6_10","Alfanumérico",1,"4
"
"Emociones. Cerca de la policía","PM6_6_10","Alfanumérico",1,"5
"
"Emociones. Cerca de la policía","PM6_6_10","Alfanumérico",1,"9
"
"Discriminación y violencia en el hogar. Te ignoraron o te hicieron sentir menos","PM6_7_1","Alfanumérico",1,"1
"
"Discriminación y violencia en el hogar. Te ignoraron o te hicieron sentir menos","PM6_7_1","Alfanumérico",1,"2
"
"Discriminación y violencia en el hogar. Te ignoraron o te hicieron sentir menos","PM6_7_1","Alfanumérico",1,"8
"
"Discriminación y violencia en el hogar. Se burlaron de ti o te dijeron cosas que te ofendieran","PM6_7_2","Alfanumérico",1,"1
"
"Discriminación y violencia en el hogar. Se burlaron de ti o te dijeron cosas que te ofendieran","PM6_7_2","Alfanumérico",1,"2
"
